0,120,121,1
1,121,122,2
2,122,123,3
3,123,124,4
4,124,125,5
5,125,126,6
120,140,146,126
140,160,166,146
160,180,186,166
180,200,206,186
200,220,226,206
220,240,246,226
240,360,361,241
241,361,362,242
242,362,363,243
243,363,364,244
244,364,365,245
245,365,366,246
6,26,32,12
26,46,52,32
46,66,72,52
66,86,92,72
86,106,112,92
106,126,132,112
126,246,247,127
127,247,248,128
128,248,249,129
129,249,250,130
130,250,251,131
131,251,252,132
246,266,272,252
266,286,292,272
286,306,312,292
306,326,332,312
326,346,352,332
346,366,372,352
12,132,133,13
13,133,134,14
14,134,135,15
15,135,136,16
16,136,137,17
17,137,138,18
132,152,158,138
152,172,178,158
172,192,198,178
192,212,218,198
212,232,238,218
232,252,258,238
252,372,373,253
253,373,374,254
254,374,375,255
255,375,376,256
256,376,377,257
257,377,378,258
