180,184,222
222,180,260
260,222,264
264,222,184
184,142,180
180,142,100
100,142,104
104,142,184
104,62,100
100,62,20
20,62,24
24,62,104
264,302,260
260,302,340
340,302,344
344,302,264
66,24,28
24,66,104
104,66,108
108,66,28
104,146,108
108,146,188
188,146,184
184,146,104
184,226,264
264,226,268
268,226,188
188,226,184
264,306,268
268,306,348
348,306,344
344,306,264
28,70,32
28,70,108
108,70,112
112,70,32
112,150,108
108,150,188
188,150,192
192,150,112
192,230,188
188,230,268
268,230,272
272,230,192
272,310,268
268,310,348
348,310,352
352,310,272
36,74,32
32,74,112
112,74,116
116,74,36
116,154,112
112,154,192
192,154,196
196,154,116
196,234,192
192,234,272
272,234,276
276,234,196
276,314,272
272,314,352
352,314,356
356,314,276
