0,40,42,2
40,80,82,42
80,120,122,82
120,160,162,122
160,200,202,162
200,240,242,202
240,280,282,242
280,320,322,282
320,360,362,322
2,42,44,4
42,82,84,44
82,122,124,84
122,162,164,124
162,202,204,164
202,242,244,204
242,282,284,244
282,322,324,284
322,362,364,324
4,44,46,6
44,84,86,46
84,124,126,86
124,164,166,126
164,204,206,166
204,244,246,206
244,284,286,246
284,324,326,286
324,364,366,326
6,46,48,8
46,86,88,48
86,126,128,88
126,166,168,128
166,206,208,168
206,246,248,208
246,286,288,248
286,326,328,288
326,366,368,328
8,48,50,10
48,88,90,50
88,128,130,90
128,168,170,130
168,208,210,170
208,248,250,210
248,288,290,250
288,328,330,290
328,368,370,330
10,50,52,12
50,90,92,52
90,130,132,92
130,170,172,132
170,210,212,172
210,250,252,212
250,290,292,252
290,330,332,292
330,370,372,332
12,52,54,14
52,92,94,54
92,132,134,94
132,172,174,134
172,212,214,174
212,252,254,214
252,292,294,254
292,332,334,294
332,372,374,334
14,54,56,16
54,94,96,56
94,134,136,96
134,174,176,136
174,214,216,176
214,254,256,216
254,294,296,256
294,334,336,296
334,374,376,336
16,56,58,18
56,96,98,58
96,136,138,98
136,176,178,138
176,216,218,178
216,256,258,218
256,296,298,258
296,336,338,298
336,376,378,338
